LONG,LAT,Region,Program,Address,Phone,Website,Description,Taking New Referrals,Population,Services,Language,FID,x,y
-116.8613,33.04357,North,NA INCREDIBLE FAM CENTRAL MHSA,"625 E street, Ramona, CA 92065",619-207-0396,,Behavioral health outpatient services and other developmental appropriate clinical interventions to children and their families that are Dependents of the Juvenile Courts hence involved with Child Welfare Services (CWS).,Yes,Children,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish",27,-13008941.8417,3901088.77667037
-117.0754,32.62997,South,Fee-For-Service,"625 Third Ave, Chula Vista, CA 91910",(619)880-3557,,,,"Adults 23-59
Older Adults 60+","Critical Incident Stress Debriefing
Family Therapy
Individual Therapy
Outpatient Treatment","Vietnamese, English",28,-13032779.1536209,3846290.60714995
-117.0754,32.62973,South,Fee-For-Service,"629 3rd Ave STE B, Chula Vista, CA 91910",(619)305-9393,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Family Therapy
Group Therapy
Individual Therapy
Outpatient Treatment",English,29,-13032768.9620172,3846258.84051345
-117.0754,32.62973,South,Fee-For-Service,"629 Third Ave STE B, Chula Vista, CA 91910",(619)305-9393,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Critical Incident Stress Debriefing
Family Therapy
Group Therapy
Individual Therapy
Inpatient Treatment",English,30,-13032768.9620172,3846258.84051345
-117.0754,32.62973,South,Fee-For-Service,"629 Third Ave STE B, Chula Vista, CA 91910",(619)952-5601,,,,"Preschool 3-5
Children 6-12
Adolescents 13-17
Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Critical Incident Stress Debriefing
Family Therapy
Group Therapy
Individual Therapy
Outpatient Treatment",English,31,-13032768.9620172,3846258.84051345
-117.059,32.68652,Countywide,CRF MAST MHSA FSP,"6290 Oriskany Rd, San Diego, CA 92139",619-398-3261,http://www.crfbehavioralhealthcare.org,"Mental Health assessment and treatment services for students  and their  families at the Momentum Learning School sites, home,  and office/clinic location.",Yes,"Young Children (0-5),
Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services",English,32,-13030949.760744,3853768.73021191
-117.0586,32.68514,Countywide,CRF MAST MHSA FSP,"6290 Oriskany Rd, San Diego, CA 92139",619-398-3261,http://www.crfbehavioralhealthcare.org,"Mental Health assessment and treatment services for students  and their  families at the Momentum Learning School sites, home,  and office/clinic location.",Yes,"Young Children (0-5),
Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish, Farsi",33,-13030898.8027251,3853586.08375403
-116.9564,32.78887,East,Fee-For-Service,"631 Taft Ave, El Cajon, CA 92020",(619)784-1837,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Home Visits
Inpatient Treatment
Medication Evaluation & Management",English,34,-13019524.9729163,3867313.63507351
-117.0614,32.77664,North Central,Fee-For-Service,"6386 Alvarado Court Suite 310, San Diego, CA 92120",(619)668-6200,,,,"Preschool 3-5
Children 6-12
Adolescents 13-17
Transitional Youth 18-22","Individual Therapy
Outpatient Treatment
Psychological Testing",English,35,-13031212.1945411,3865693.78840563
-117.0614,32.77664,North Central,Fee-For-Service,"6386 Alvarado Ct STE 310, San Diego, CA 92120",(619)668-6200,,,,"Children 6-12
Adolescents 13-17
Transitional Youth 18-22
Adults 23-59","Family Therapy
Group Therapy
Neuropsych. Testing
Outpatient Treatment
Psychological Testing",English,36,-13031212.1945411,3865693.78840563
-117.0614,32.77664,East,SDCC EAST OP LA MESA,"6386 ALVARADO CT STE 310, SAN DIEGO, CA 92120",6196686200,centerforchildren.org,"Outpatient specialty mental health services, individual/group/family therapy, rehabilitation, crisis intervention, case management and enhanced services.",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish, Russian",37,-13031212.1945411,3865693.78840563
-117.0614,32.77664,East,SDCC EAST OP LA MESA FSP MHSA,"6386 Alvarado Ct. Suite 310, San Diego, CA 92120",6196686200,centerforchildren.org,"Outpatient specialty mental health services, individual/group/family therapy, rehabilitation, crisis intervention, case management and enhanced services.",Yes,"Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services",English,38,-13031212.1945411,3865693.78840563
-117.1804,32.77198,Central,UPAC CMH FSP MHSA,"6402 Linda Vista Rd, San Diego, CA 92111",619-232-6454,https://www.upacsd.com,"Program consists of three components: 1) provides prevention and early intervention services to children at risk due to gang violence and to their families, 2) provides community response team services, and 3) provides mental health counseling services.",Yes,Transition Age Youth (16-25),"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Home-Based Services,
Medication Support Services",English,39,-13044462.9780445,3865077.12328196
-117.1788,32.9054,North Central,Fee-For-Service,"6496 Weathers Pl St, San Diego, CA 92121",(858)210-6026,,,,"Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Medication Evaluation & Management
Outpatient Treatment",English,40,-13044282.9263778,3882754.02701402
-117.1788,32.9054,North Central,Fee-For-Service,"6496 Weathers Pl Ste 100, San Diego, CA 92121",(858)925-6137,,,,"Adolescents 13-17
Transitional Youth 18-22
Adults 23-59
Older Adults 60+","ECT (MD Only Including Consult)
Inpatient Treatment
Medication Evaluation & Management
Outpatient Treatment",English,41,-13044282.9263778,3882754.02701402
-117.1788,32.9054,North Central,Fee-For-Service,"6496 Weathers Place STE 100, San Diego, CA 92121",(561)371-6754,,,,"Adolescents 13-17
Transitional Youth 18-22
Adults 23-59
Older Adults 60+","Critical Incident Stress Debriefing
Medication Evaluation & Management
Outpatient Treatment",English,42,-13044282.9263778,3882754.02701402
-116.9509,32.78833,Countywide,TELECARE OLDER ADULT SBCM MHSA,"655 S.MOLLISON, EL CAJON, CA 92020",6194815200,,"Our ACT teams provide intensive, community-based mental health, behavioral health, and social services for individuals with mental illness, substance use, unemployment, homelessness, or other major life challenges. Our teams include trained peer support specialists, case managers, and clinicians.",Yes,Older Adult (60+),"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services",English,43,-13018915.1752906,3867241.40143107
-117.0545,32.74779,"Central, North Central",SDUSD CITY SCHOOLS OP,"6620 Marlowe Dr, San Diego, CA 92115",8585732227,www.sandiegounified.org,"Outpatient therapy, Individual –Group and Family therapy, Case management, Family partners, Pathways to Well-Being- intensive care coordination, School based therapy, Medication services",Yes,"Young Children (0-5),
Children (6-18),
Adolescent (12-17),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services",English,44,-13030441.879156,3861874.61995683
-117.0576,32.77729,North Central,Fee-For-Service,"6645 Alvarado Rd # 255, San Diego, CA 92120",(619)265-8383,,,,"Adults 23-59
Older Adults 60+","Family Therapy
Individual Therapy
Inpatient Treatment
Outpatient Treatment","English, Turkish, Farsi",45,-13030789.2429846,3865780.15440259
-117.0969,32.64225,South,CRF NUEVA VISTA MHSA FSP,"670 Flower St, Chula Vista, CA 91910",1619585768,,"Nueva Vista Family Services is located in Chula Vista and serves children, youth and families residing in the South region.  The program provides a full range of services in Spanish and English to children and youth identified as having Serious Emotional Disturbance (SED). Services are family-driven, and all family members actively participate in service planning and delivery.",Yes,"Young Children (0-5),
Children (6-18)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish",46,-13035165.687504,3847914.34887212
-117.051,32.79637,"Central, North Central",SDUSD CITY SCHOOLS OP,"6702 Wandermere Dr, San Diego, CA 92120",8585732227,www.sandiegounified.org,"Outpatient therapy, Individual –Group and Family therapy, Case management, Family partners, Pathways to Well-Being- intensive care coordination, School based therapy, Medication services",Yes,"Young Children (0-5),
Children (6-18),
Adolescent (12-17),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services",English,47,-13030058.8447143,3868306.26111907
-117.0515,32.71124,Countywide,CRF MAST MHSA FSP,"6785 Imperial Ave, San Diego, CA 92114",619-398-3261,http://www.crfbehavioralhealthcare.org,"Mental Health assessment and treatment services for students  and their  families at the Momentum Learning School sites, home,  and office/clinic location.",Yes,"Young Children (0-5),
Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish, Farsi",48,-13030118.2957363,3857037.67134914
-117.0515,32.71124,Central,NCL CCC CENTRAL FSP MHSA,"6785 Imperial Ave, San Diego, CA 92114",760-842-6202,nclifeline.org,"Connections Community Counseling is a mental health program for youth, up to age 21, who are homeless, runaway, or residing in inadequate or non-permanent living situations (couch surfing, transitional housing, multifamily living, threatened placement, etc.).",Yes,All Ages,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish",49,-13030118.2957363,3857037.67134914
-117.0748,32.62844,South,Fee-For-Service,"681 Third Ave, Chula Vista, CA 91910",(619)525-7747,,,,"Adults 23-59
Older Adults 60+","Family Therapy
Group Therapy
Individual Therapy
Outpatient Treatment",English,50,-13032708.6616948,3846088.91566852
-117.0482,32.70262,"Central, North Central",CRF DOUGLAS YOUNG MHSA FSP,"6905 Skyline Dr, San Diego, CA 92114",8583008282,crfbehavioralhealthcare.org,"Provides FSP enhanced outpatient Mental Health diagnostic and treatment services to children/adolescents and their families in the Central/North Central Regions of San Diego. Services include dual diagnosis enhanced individual, family and group therapy, case management, rehabilitative services, Intensive care coordination (ICC), Intensive Home Based Services (IHBS), crisis intervention, medication management, & substance use/abuse and tobacco use services and is MHSA funded.",Yes,"Children (6-18),
Transition Age Youth (16-25),
Adult (18+)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services",English,51,-13029749.6993999,3855898.13217039
-117.0482,32.70262,North,Vista Hill TRC Morse HS IOS,"6905 Skyline Dr, San Diego, CA 92114",6197957232,,"Outpatient counseling sessions, classes and groups are offered weekday afternoons and evenings and are designed to support recovery through healthy coping skills, strengthening supportive relationships and increasing confidence as clients continue to rebuild their life and regain their sense of purpose.",Yes,,Intensive Outpatient Treatment,"English, Spanish",52,-13029749.6993999,3855898.13217039
-117.0482,32.70262,South,Vista Hill TRC Morse HS OS,"6905 Skyline Dr, San Diego, CA 92114",6197957232,vistahill.org,"UPAC New Leaf Recovery Center is a Co-occurring Disorder (COD) satellite program that is SD/MC and DMC certified. This program serves clients with complex, co-occurring mental health problems and substance use disorders countywide.",Yes,,Outpatient Treatment,"English, Spanish",53,-13029749.6993999,3855898.13217039
-117.0482,32.70262,"Central, North Central",CRF DOUGLAS YOUNG MHSA FSP,"6905 Skyline Drive, San Diego, CA 92114",8583008282,crfbehavioralhealthcare.org,"Provides FSP enhanced outpatient Mental Health diagnostic and treatment services to children/adolescents and their families in the Central/North Central Regions of San Diego. Services include dual diagnosis enhanced individual, family and group therapy, case management, rehabilitative services, Intensive care coordination (ICC), Intensive Home Based Services (IHBS), crisis intervention, medication management, & substance use/abuse and tobacco use services and is MHSA funded.",Yes,"Children (6-18),
Transition Age Youth (16-25),
Adult (18+)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish",54,-13029749.6993999,3855898.13217039
-117.0435,32.6902,South,UPAC PROMISE WLNS CTR PARADISE,"6919 PARADISE RD STE A9, SAN DIEGO, CA 92139",6197722579,www.upacsd.com,"The Promise Wellness Center upholds the principle of psychosocial rehabilitation to assist those recovering from mental health difficulties and co-occurring substance use disorders. Services include, mental health assessments, individual and group therapy, peer support groups, clinical case management, psychiatric medication management, mobile outreach, employment services, transitional age youth (TAY) and older adult outreach services.",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish, Hmong",55,-13029219.7360038,3854255.12847891
-117.0926,32.58459,Countywide,CRF MAST MHSA FSP,"695 Saturn Blvd E & F, San Diego, CA 92154",619-398-3261,http://www.crfbehavioralhealthcare.org,"Mental Health assessment and treatment services for students  and their  families at the Momentum Learning School sites, home,  and office/clinic location.",Yes,"Young Children (0-5),
Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish",56,-13034693.4765293,3840294.77906452
-117.0484,32.76877,Countywide,CRF MAST MHSA FSP,"6950 El Cajon Blvd, San Diego, CA 92115",619-398-3261,http://www.crfbehavioralhealthcare.org,"Mental Health assessment and treatment services for students  and their  families at the Momentum Learning School sites, home,  and office/clinic location.",Yes,"Young Children (0-5),
Children (6-18),
Transition Age Youth (16-25)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Spanish",57,-13029767.5347065,3864651.89062165
-116.9711,32.80428,East,CRF CROSSROAD FAM THERAPY FSP,"700 N Johnson Ave p, El Cajon, CA 92020",1619441190,,"Crossroads Family Center is located in El Cajon and serves children, youth and families residing in the East region including school and home-based services in the rural Back-Country communities of San Diego County. The program provides a full range of services to children and youth identified as having Serious Emotional Disturbance (SED). Services are family-driven, and all family members actively participate in service planning and delivery. Family members include any caregiver or significant members in the child or youth’s life. We provide services in the community, home, school, and the clinic to ensure services are accessible and convenient.",Yes,"Young Children (0-5),
Children (6-18)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","English, Arabic",58,-13021165.8211235,3869353.53441961
-116.9711,32.80428,East,CRF CROSSROADS MHSA FSP,"700 N Johnson Ave P, El Cajon, CA 92020",1619441190,www.crfbehavioralhealthcare.org,"Crossroads Family Center is located in El Cajon and serves children, youth and families residing in the East region including school and home-based services in the rural Back-Country communities of San Diego County. The program provides a full range of services to children and youth identified as having Serious Emotional Disturbance (SED). Services are family-driven, and all family members actively participate in service planning and delivery. Family members include any caregiver or significant members in the child or youth’s life. We provide services in the community, home, school, and the clinic to ensure services are accessible and convenient.",Yes,"Young Children (0-5),
Children (6-18)","Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services",English,59,-13021165.8211235,3869353.53441961
-116.9711,32.80428,East,CRF CROSSROADS,"700 N JOHNSON AVE STE P, EL CAJON, CA 92020",6194411907,www.crfbehavioralhealthcare.org,"Crossroads Family Center is located in El Cajon and serves children, youth and families residing in the East region including school and home-based services in the rural Back-Country communities of San Diego County. The program provides a full range of services to children and youth identified as having Serious Emotional Disturbance (SED). Services are family-driven, and all family members actively participate in service planning and delivery. Family members include any caregiver or significant members in the child or youth’s life. We provide services in the community, home, school, and the clinic to ensure services are accessible and convenient.",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Intensive Home-Based Services,
Medication Support Services","Hebrew, English, Spanish, Arabic",60,-13021165.8211235,3869353.53441961
-117.3678,33.18442,North Coastal,NC LIFELINE OCEANSIDE,"707 OCEANSIDE BLVD, OCEANSIDE, CA 92054",7607264900,nclifeline.org,"Outpatient specialty mental health services, individual/group/family therapy, rehabilitation, crisis intervention, case management and enhanced services.",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish",61,-13065323.4923638,3919808.50026361
-117.3678,33.18442,North,NCL CCC OCEANSIDE FSP MHSA,"707 OCEANSIDE BLVD, OCEANSIDE, CA 92054",7608426202,nclifeline.org,"Connections Community Counseling is a mental health program for youth, up to age 21, who are homeless, runaway, or residing in inadequate or non-permanent living situations (couch surfing, transitional housing, multifamily living, threatened placement, etc.).",Yes,,"Day Rehabilitation,
Targeted Case Management,
Crisis Intervention,
Mental Health Services,
Intensive Care Coordination,
Medication Support Services","English, Spanish",62,-13065323.4923638,3919808.50026361
-117.0743,32.62711,South,Fee-For-Service,"709 Third Ave, Chula Vista, CA 91910",(619)585-3000,,,,"Adolescents 13-17
Transitional Youth 18-22
Adults 23-59
Older Adults 60+","ECT (MD Only Including Consult)
Family Therapy
Group Therapy
Individual Therapy
Inpatient Treatment
Medication Evaluation & Management
Outpatient Treatment",English,63,-13032647.5120722,3845912.94266011
